OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
1183621	254161910	ECB_01821	1910691	1911332	-	213	COG0800G	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase
1183621	254161911	ECB_01822	1911369	1913180	-	603	COG0129EG	phosphogluconate dehydratase
1183622	254161916	ECB_01827	1918889	1920148	-	419	COG0739M	hypothetical protein
1183622	254161917	ECB_01828	1920227	1921159	-	310	COG4531P	high-affinity zinc transporter periplasmic component
1183623	254161918	ECB_01829	1921238	1921993	+	251	COG1121P	high-affinity zinc transporter ATPase
1183623	254161919	ECB_01830	1921990	1922775	+	261	COG1108P	high-affinity zinc transporter membrane component
1183624	254161920	ECB_01831	1923116	1924126	-	336	COG2255L	Holliday junction DNA helicase RuvB
1183624	254161921	ECB_01832	1924135	1924746	-	203	COG0632L	Holliday junction DNA helicase RuvA
1183625	254161923	ECB_01834	1925625	1926146	-	173	COG0817L	Holliday junction resolvase
1183625	254161924	ECB_01835	1926181	1926921	-	246	COG0217S	hypothetical protein
1183625	254161925	ECB_01836	1926950	1927402	-	150	COG0494LR	dATP pyrophosphohydrolase
1183626	254161927	ECB_01838	1929602	1930168	+	188	COG1335Q	hypothetical protein
1183626	254161928	ECB_01839	1930165	1930983	+	272	COG1801S	hypothetical protein
1183626	254161929	ECB_01840	1931036	1931431	+	131	COG3788R	putative inner membrane protein
1183627	254161930	ECB_01841	1931472	1932215	+	247	COG2226H	putative methyltransferase
1183627	254161931	ECB_01842	1932212	1933183	+	323	COG2227H	putative S-adenosyl-L-methionine-dependent methyltransferase
1183628	254161932	ECB_01843	1933348	1935777	-	809	COG0243C	trimethylamine N-oxide reductase system III, catalytic subunit
1183628	254161933	ECB_01844	1935802	1936902	-	366	COG3005C	TMAO reductase III (TorYZ), cytochrome c-type subunit
1183629	254161938	ECB_01849	1941350	1941718	-	122	-	hypothetical protein
1183629	254161939	ECB_01850	1941742	1943820	-	692	COG1298NU	flagellar biosynthesis protein FlhA
1183629	254161940	ECB_01851	1943813	1944961	-	382	COG1377NU	flagellar biosynthesis protein FlhB
1183630	254161941	ECB_01852	1945163	1945807	-	214	COG3143NT	chemotaxis regulator CheZ
1183630	254161942	ECB_01853	1945818	1946207	-	129	COG2204T	chemotaxis regulatory protein CheY
1183630	254161943	ECB_01854	1946222	1947271	-	349	COG2201NT	chemotaxis-specific methylesterase
1183630	254161944	ECB_01855	1947274	1948134	-	286	COG1352NT	chemotaxis methyltransferase CheR
1183630	254161945	ECB_01856	1948153	1949754	-	533	COG0840NT	methyl-accepting protein IV
1183630	254161946	ECB_01857	1949800	1951461	-	553	COG0840NT	methyl-accepting chemotaxis protein II
1183631	254161947	ECB_01858	1951606	1952109	-	167	COG0835NT	purine-binding chemotaxis protein
1183631	254161948	ECB_01859	1952130	1954094	-	654	COG0643NT	chemotaxis protein CheA
1183631	254161949	ECB_01860	1954099	1955025	-	308	COG1360N	flagellar motor protein MotB
1183631	254161950	ECB_01861	1955022	1955909	-	295	COG1291N	flagellar motor protein MotA
1183632	254161951	ECB_01862	1956036	1956614	-	192	-	transcriptional activator FlhC
1183632	254161952	ECB_01863	1956617	1956976	-	119	-	transcriptional activator FlhD
1183633	254161954	ECB_01865	1958182	1959606	-	474	COG0380G	trehalose-6-phosphate synthase
1183633	254161955	ECB_01866	1959581	1960381	-	266	COG1877G	trehalose-6-phosphate phosphatase
1183634	254161956	ECB_01867	1960548	1961537	-	329	COG1172G	L-arabinose transporter permease
1183634	254161957	ECB_01868	1961549	1963063	-	504	COG1129G	L-arabinose transporter ATP-binding protein
1183634	254161958	ECB_01869	1963133	1964122	-	329	COG1879G	L-arabinose transporter subunit
1183635	254161966	ECB_01877	1970262	1970810	-	182	COG0558I	phosphatidylglycerophosphate synthetase
1183635	254161967	ECB_01878	1970867	1972633	-	588	COG0322L	excinuclease ABC subunit C
1183635	254161968	ECB_01879	1972696	1973205	-	169	COG2197TK	response regulator
1183636	254161969	ECB_01880	1973327	1973602	+	91	COG3677L	IS1 protein InsA
1183636	254161970	ECB_01881	1973521	1974024	+	167	COG1662L	IS1 protein InsB
1183636	254161971	ECB_01882	1974026	1974685	+	219	COG0693R	chaperone protein HchA
1183637	254161972	ECB_01883	1974793	1976151	-	452	COG0642T	putative sensory kinase in two-component regulatory system with YedW
1183637	254161973	ECB_01884	1976151	1976822	-	223	COG0745TK	transcriptional regulatory protein YedW
1183638	254161975	ECB_01886	1977477	1978481	+	334	COG2041R	putative sulfite oxidase subunit YedY
1183638	254161976	ECB_01887	1978482	1979117	+	211	COG2717S	putative sulfite oxidase subunit YedZ
1183639	254161981	ECB_01893	1991642	1992958	+	438	COG2211G	shikimate transporter
1183639	254161982	ECB_01894	1993060	1994514	+	484	COG0775F	AMP nucleosidase
1183640	254161988	ECB_01900	2001388	2002467	-	359	COG2038H	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
1183640	254161989	ECB_01901	2002479	2003222	-	247	COG0368H	cobalamin synthase
1183640	254161990	ECB_01902	2003219	2003764	-	181	COG2087H	adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
1183641	254161992	ECB_01906	2007531	2007938	-	135	-	hypothetical protein
1183641	254161993	ECB_01907	2007926	2008360	-	144	-	hypothetical protein
1183642	254162001	ECB_01915	2014669	2014896	-	75	COG0425O	hypothetical protein
1183642	254162002	ECB_01916	2014910	2015968	-	352	COG2391R	putative inner membrane protein
1183643	254162004	ECB_01918	2017772	2018701	-	309	COG0583K	putative DNA-binding transcriptional regulator
1183643	254162005	ECB_01919	2018747	2019571	-	274	COG0451MG	putative epimerase, with NAD(P)-binding Rossmann-fold domain
1183644	254162007	ECB_01921	2020194	2021093	+	299	COG0040E	ATP phosphoribosyltransferase
1183644	254162008	ECB_01922	2021162	2022403	+	413	COG0141E	histidinol dehydrogenase
1183644	254162009	ECB_01923	2022400	2023470	+	356	COG0079E	histidinol-phosphate aminotransferase
1183644	254162010	ECB_01924	2023470	2024537	+	355	COG0131E	imidazole glycerol-phosphate dehydratase/histidinol phosphatase
1183644	254162011	ECB_01925	2024537	2025127	+	196	COG0118E	imidazole glycerol phosphate synthase subunit HisH
1183644	254162012	ECB_01926	2025127	2025864	+	245	COG0106E	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
1183644	254162013	ECB_01927	2025846	2026622	+	258	COG0107E	imidazole glycerol phosphate synthase subunit HisF
1183644	254162014	ECB_01928	2026616	2027227	+	203	COG0139E	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
1183645	254162018	ECB_01932	2031433	2032797	-	454	COG1109G	Phosphomannomutase
1183645	254162019	ECB_01933	2032831	2034255	-	474	COG0836M	Mannose-1-phosphate guanylyltransferase
1183646	254162020	ECB_01934	2034341	2034844	-	167	COG1662L	IS1 protein InsB
1183646	254162021	ECB_01935	2034763	2035038	-	91	COG3677L	IS1 protein InsA
1183647	254162022	ECB_01936	2035089	2035856	-	255	COG0463M	putative glycosyltransferase WbbD
1183647	254162023	ECB_01937	2035846	2036958	-	370	COG0438M	putative glycosyltransferase WbbC
1183647	254162024	ECB_01938	2036955	2038130	-	391	-	O antigen polymerase (Wzy)
1183647	254162025	ECB_01939	2038127	2038948	-	273	-	putative glycosyltransferase WbbB
1183647	254162026	ECB_01940	2038948	2039694	-	248	-	putative glycosyltransferase WbbA
1183647	254162027	ECB_01941	2039691	2040128	-	145	COG0110R	VioB
1183648	254162028	ECB_01942	2040271	2041383	-	370	COG0399M	VioA
1183648	254162029	ECB_01943	2041393	2042820	-	475	COG2244R	O antigen translocase (Wzx)
1183648	254162030	ECB_01944	2042821	2043366	-	181	COG1898M	dTDP-4-dehydrorhamnose 3,5-epimerase RmlC
1183648	254162031	ECB_01945	2043371	2044249	-	292	COG1209M	glucose-1-phosphate thymidylyltransferase
1183648	254162032	ECB_01946	2044308	2045207	-	299	COG1091M	dTDP-4-dehydrorhamnose reductase
1183648	254162033	ECB_01947	2045207	2046292	-	361	COG1088M	dTDP-glucose 4,6 dehydratase
1183649	254162035	ECB_01949	2047733	2049127	-	464	-	putative colanic acid biosynthesis protein
1183649	254162036	ECB_01950	2049138	2050358	-	406	COG0438M	putative glycosyl transferase
1183649	254162037	ECB_01951	2050355	2051635	-	426	COG2327S	putative pyruvyl transferase
1183650	254162038	ECB_01952	2051797	2053275	-	492	COG2244R	colanic acid exporter
1183650	254162039	ECB_01953	2053277	2054671	-	464	COG2148M	putative UDP-glucose lipid carrier transferase
1183650	254162040	ECB_01954	2054726	2056096	-	456	COG1109G	phosphomannomutase
1183651	254162041	ECB_01955	2056289	2057725	-	478	COG0836M	mannose-1-phosphate guanyltransferase
1183651	254162042	ECB_01956	2057728	2058951	-	407	COG0438M	putative glycosyl transferase
1183651	254162043	ECB_01957	2058948	2059427	-	159	COG1051F	GDP-mannose mannosyl hydrolase
1183651	254162044	ECB_01958	2059430	2060395	-	321	COG0451MG	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase
1183651	254162045	ECB_01959	2060398	2061519	-	373	COG1089M	GDP-D-mannose dehydratase
1183651	254162046	ECB_01960	2061546	2062094	-	182	COG0110R	putative colanic acid biosynthesis acetyltransferase WcaF
1183651	254162047	ECB_01961	2062110	2062856	-	248	COG0463M	putative glycosyl transferase
1183652	254162048	ECB_01962	2062867	2064084	-	405	-	putative colanic acid biosynthesis protein
1183652	254162049	ECB_01963	2064059	2065276	-	405	COG0438M	putative glycosyl transferase
1183652	254162050	ECB_01964	2065273	2065761	-	162	COG1045E	putative colanic acid biosynthesis acetyltransferase WcaB
1183652	254162051	ECB_01965	2065764	2066603	-	279	COG0463M	putative glycosyl transferase
1183653	254162052	ECB_01966	2066696	2068858	-	720	COG3206M	tyrosine kinase
1183653	254162053	ECB_01967	2068861	2069304	-	147	COG0394T	tyrosine phosphatase
1183653	254162054	ECB_01968	2069310	2070449	-	379	COG1596M	lipoprotein required for capsular polysaccharide translocation through the outer membrane
1183654	254162056	ECB_01970	2072965	2074818	-	617	COG2982M	putative assembly protein
1183654	254162057	ECB_01971	2074840	2075421	-	193	COG0717F	deoxycytidine triphosphate deaminase
1183655	254162062	ECB_01976	2082225	2084165	-	646	COG4248R	hypothetical protein
1183655	254162063	ECB_01977	2084162	2084923	-	253	-	hypothetical protein
1183655	254162064	ECB_01978	2084920	2085579	-	219	COG4245R	hypothetical protein
1183656	254162065	ECB_01979	2087124	2088371	+	415	COG0845M	multidrug efflux system subunit MdtA
1183656	254162066	ECB_01980	2088371	2091493	+	1040	COG0841V	multidrug efflux system subunit MdtB
1183656	254162067	ECB_01981	2091494	2094571	+	1025	COG0841V	multidrug efflux system subunit MdtC
1183656	254162068	ECB_01982	2094572	2095987	+	471	COG2814G	multidrug efflux system protein MdtE
1183656	254162069	ECB_01983	2095984	2097387	+	467	COG0642T	signal transduction histidine-protein kinase BaeS
1183656	254162070	ECB_01984	2097384	2098106	+	240	COG0745TK	DNA-binding transcriptional regulator BaeR
1183657	254162074	ECB_01988	2100709	2101488	-	259	COG3498R	putative phage protein (D protein)
1183657	254162075	ECB_01989	2101501	2102691	-	396	COG3497R	hypothetical protein
1183658	254162078	ECB_01992	2103734	2103949	+	71	-	hypothetical protein
1183658	254162079	ECB_01993	2103921	2105039	+	372	COG0463M	hypothetical protein
1183659	254162081	ECB_01995	2108120	2108650	-	176	COG4385R	hypothetical protein
1183659	254162082	ECB_01996	2108643	2109512	-	289	COG3948R	baseplate assembly protein J
1183659	254162083	ECB_01997	2109556	2109903	-	115	COG3628R	baseplate assembly protein W
1183659	254162084	ECB_01998	2109900	2110553	-	217	COG4540R	hypothetical protein
1183660	254162085	ECB_01999	2110619	2111404	+	261	-	hypothetical protein
1183660	254162086	ECB_02000	2111440	2112390	+	316	COG5518R	bacteriophage capsid portal protein
1183661	254162087	ECB_02001	2112706	2114673	-	655	-	hypothetical protein
1183661	254162088	ECB_02002	2114673	2115038	-	121	-	hypothetical protein
1183662	254162090	ECB_02004	2116486	2118777	-	763	-	Replication gene A protein
1183662	254162091	ECB_02005	2118758	2119033	-	91	-	hypothetical protein
1183662	254162092	ECB_02006	2119030	2119254	-	74	-	hypothetical protein
1183662	254162093	ECB_02007	2119257	2119559	-	100	-	hypothetical protein
1183662	254162094	ECB_02008	2119556	2119780	-	74	-	hypothetical protein
1183663	254162099	ECB_02013	2122410	2122625	-	71	-	hypothetical protein
1183663	254162100	ECB_02014	2122613	2122930	-	105	-	hypothetical protein
1183664	254162102	ECB_02016	2124316	2125089	-	257	COG1349KG	galactitol utilization operon repressor
1183664	254162103	ECB_02017	2125195	2126235	-	346	COG1063ER	galactitol-1-phosphate dehydrogenase
1183665	254162104	ECB_02018	2126283	2127638	-	451	COG3775G	PTS system galactitol-specific transporter subunit IIC
1183665	254162105	ECB_02019	2127642	2127926	-	94	COG3414G	PTS system galactitol-specific transporter subunit IIB
1183665	254162106	ECB_02020	2127957	2128409	-	150	COG1762GT	PTS system galactitol-specific transporter subunit IIA
1183666	254162107	ECB_02022	2128655	2128930	+	91	COG3677L	IS1 protein InsA
1183666	254162108	ECB_02023	2128849	2129352	+	167	COG1662L	IS1 protein InsB
1183667	254162111	ECB_02026	2132950	2134227	+	425	-	putative nucleoside transporter
1183667	254162112	ECB_02027	2134224	2135228	+	334	COG1397O	putative hydrolase
1183667	254162113	ECB_02028	2135225	2136190	+	321	COG0524G	putative kinase
1183668	254162114	ECB_02029	2136164	2136910	-	248	COG2188K	putative DNA-binding transcriptional regulator
1183668	254162115	ECB_02030	2136962	2137780	-	272	COG3757M	putative hydrolase
1183668	254162116	ECB_02031	2137845	2138645	-	266	COG0351H	phosphomethylpyrimidine kinase
1183668	254162117	ECB_02032	2138642	2139430	-	262	COG2145H	hydroxyethylthiazole kinase
1183669	254162118	ECB_02033	2139753	2139998	+	81	-	hypothetical protein
1183669	254162119	ECB_02034	2140045	2140476	+	143	-	hypothetical protein
1183670	254162125	ECB_02040	2143079	2143582	-	167	COG1662L	IS1 protein InsB
1183670	254162126	ECB_02041	2143501	2143776	-	91	COG3677L	IS1 protein InsA
1183670	254162127	ECB_02042	2143805	2143993	-	62	-	hypothetical protein
1183671	254162130	ECB_02045	2147671	2151465	+	1264	COG3831S	molybdate metabolism regulator
1183671	254162131	ECB_02046	2151475	2155107	+	1210	-	hypothetical protein
1183671	254162132	ECB_02047	2155168	2155485	+	105	-	hypothetical protein
1183672	254162133	ECB_02048	2155792	2156880	+	362	COG0714R	putative transporter subunit ATP-binding protein of ABC superfamily
1183672	254162134	ECB_02049	2156891	2159170	+	759	-	hypothetical protein
1183672	254162135	ECB_02050	2159163	2160299	+	378	COG2425R	hypothetical protein
1183672	254162136	ECB_02051	2160296	2162296	+	666	-	hypothetical protein
1183673	254162138	ECB_02053	2162923	2163393	-	156	COG4807S	hypothetical protein
1183673	254162139	ECB_02054	2163440	2164159	-	239	COG3279KT	putative two-component response-regulatory protein YehT
1183673	254162140	ECB_02055	2164156	2165841	-	561	COG3275T	putative sensory kinase in two-component system with YehT
1183674	254162143	ECB_02058	2166942	2167673	-	243	COG1174E	putative transporter subunit membrane component of ABC superfamily
1183674	254162144	ECB_02059	2167678	2168604	-	308	COG1125E	putative transporter subunit ATP-binding protein of ABC superfamily
1183674	254162145	ECB_02060	2168597	2169754	-	385	COG1174E	putative transporter subunit membrane component of ABC superfamily
1183674	254162146	ECB_02061	2169761	2170678	-	305	COG1732M	putative transporter subunit periplasmic-binding component of ABC superfamily
1183675	254162152	ECB_02067	2177747	2178508	-	253	COG1028IQR	acetoin dehydrogenase
1183675	254162153	ECB_02068	2178561	2179925	-	454	COG1538MU	multidrug resistance outer membrane protein MdtQ
1183676	254162155	ECB_02070	2181862	2182260	+	132	COG1380R	hypothetical protein
1183676	254162156	ECB_02071	2182257	2182952	+	231	COG1346M	hypothetical protein
1183677	254162158	ECB_02073	2184116	2184835	+	239	COG2949S	hypothetical protein
1183677	254162159	ECB_02074	2184838	2185077	+	79	-	putative inner membrane protein
1183678	254162160	ECB_02075	2185271	2186509	+	412	COG0493ER	putative oxidoreductase
1183678	254162161	ECB_02076	2186503	2187738	+	411	COG0167F	dihydropyrimidine dehydrogenase
1183679	254162162	ECB_02077	2187981	2188991	-	336	COG4211G	beta-methylgalactoside transporter inner membrane component
1183679	254162163	ECB_02078	2189007	2190527	-	506	COG1129G	galactose/methyl galaxtoside transporter ATP-binding protein
1183679	254162164	ECB_02079	2190588	2191586	-	332	COG1879G	methyl-galactoside transporter subunit
1183680	254162166	ECB_02081	2193048	2194205	-	385	COG2311S	hypothetical protein
1183680	254162167	ECB_02082	2194222	2194890	-	222	COG0302H	GTP cyclohydrolase I
1183681	254162172	ECB_02087	2200955	2202004	+	349	COG2855S	inner membrane protein
1183681	254162173	ECB_02088	2202078	2202935	+	285	COG0648L	endonuclease IV
1183681	254162174	ECB_02089	2202938	2204026	+	362	COG0524G	hypothetical protein
1183682	254162178	ECB_02093	2207272	2208522	-	416	COG1972F	putative nucleoside transporter
1183682	254162179	ECB_02094	2208616	2209554	-	312	COG2313Q	hypothetical protein
1183682	254162180	ECB_02095	2209542	2210483	-	313	COG0524G	hypothetical protein
1183683	254162181	ECB_02096	2210907	2212598	-	563	COG1299G	PTS system fructose-specific transporter subunits IIBC
1183683	254162182	ECB_02097	2212615	2213553	-	312	COG1105G	1-phosphofructokinase
1183683	254162183	ECB_02098	2213553	2214683	-	376	COG4668G	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein
1183684	254162188	ECB_02103	2219017	2220003	+	328	COG0523R	hypothetical protein
1183684	254162189	ECB_02104	2220042	2220755	+	237	COG0671I	undecaprenyl pyrophosphate phosphatase
1183685	254162191	ECB_02106	2221914	2223470	+	518	COG2200T	hypothetical protein
1183685	254162192	ECB_02107	2223552	2225366	+	604	COG4166E	putative oligopeptide transporter subunit
1183685	254162193	ECB_02108	2225367	2226461	+	364	COG4174R	putative oligopeptide transporter subunit
1183685	254162194	ECB_02109	2226461	2227486	+	341	COG4239R	putative oligopeptide transporter subunit
1183685	254162195	ECB_02110	2227488	2229077	+	529	COG4172R	oligopeptide ABC transporter ATP-binding protein
1183686	254162197	ECB_02112	2229758	2230948	-	396	COG2814G	bicyclomycin/multidrug efflux system
1183686	254162198	ECB_02113	2230976	2231671	-	231	COG1187J	16S rRNA pseudouridylate synthase A
1183687	254162202	ECB_02117	2235317	2235544	+	75	COG3082S	hypothetical protein
1183687	254162203	ECB_02118	2235564	2237324	+	586	COG3083R	putative hydrolase, inner membrane
1183688	254162206	ECB_02121	2241347	2242399	-	350	COG4235O	heme lyase, CcmH subunit
1183688	254162207	ECB_02122	2242396	2242953	-	185	COG0526OC	periplasmic thioredoxin of cytochrome c-type biogenesis
1183688	254162208	ECB_02123	2242950	2244893	-	647	COG1138O	heme lyase, CcmF subunit
1183688	254162209	ECB_02124	2244890	2245369	-	159	COG2332O	cytochrome c-type biogenesis protein CcmE
1183688	254162210	ECB_02125	2245366	2245575	-	69	COG3114U	cytochrome c biogenesis protein
1183688	254162211	ECB_02126	2245572	2246309	-	245	COG0755O	heme exporter subunit
1183688	254162212	ECB_02127	2246351	2247013	-	220	COG2386O	heme exporter subunit
1183688	254162213	ECB_02128	2247010	2247633	-	207	COG4133O	cytochrome c biogenesis protein CcmA
1183688	254162214	ECB_02129	2247646	2248248	-	200	COG3005C	cytochrome c-type protein NapC
1183688	254162215	ECB_02130	2248258	2248707	-	149	COG3043C	citrate reductase cytochrome c-type subunit
1183688	254162216	ECB_02131	2248704	2249567	-	287	COG0348C	quinol dehydrogenase membrane component
1183688	254162217	ECB_02132	2249554	2250249	-	231	COG1245R	quinol dehydrogenase periplasmic component
1183688	254162218	ECB_02133	2250256	2252742	-	828	COG0243C	nitrate reductase catalytic subunit
1183688	254162219	ECB_02134	2252739	2253002	-	87	COG3062P	assembly protein for periplasmic nitrate reductase
1183688	254162220	ECB_02135	2252992	2253486	-	164	COG1149C	ferredoxin-type protein
1183689	254162223	ECB_02138	2257076	2258719	-	547	COG4615QP	multidrug transporter membrane component/ATP-binding protein
1183689	254162224	ECB_02139	2258795	2259445	-	216	COG3145L	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
1183689	254162225	ECB_02140	2259445	2260509	-	354	COG2169F	bifunctional DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase
1183689	254162226	ECB_02141	2260583	2261638	-	351	COG1477H	thiamine biosynthesis lipoprotein ApbE
1183690	254162227	ECB_02142	2261750	2262685	-	311	COG3203M	outer membrane porin protein C
1183690	254162228	ECB_02143	2262755	2263258	-	167	COG1662L	IS1 protein InsB
1183690	254162229	ECB_02144	2263177	2263452	-	91	COG3677L	IS1 protein InsA
1183691	254162231	ECB_02146	2266743	2268569	+	608	COG3852T	sensory histidine kinase AtoS
1183691	254162232	ECB_02147	2268566	2269951	+	461	COG2204T	acetoacetate metabolism regulatory protein AtoC
1183692	254162233	ECB_02148	2270147	2270809	+	220	COG1788I	acetyl-CoA:acetoacetyl-CoA transferase subunit alpha
1183692	254162234	ECB_02149	2270809	2271459	+	216	COG2057I	acetyl-CoA:acetoacetyl-CoA transferase, subunit beta
1183692	254162235	ECB_02150	2271456	2272778	+	440	COG2031I	short chain fatty acid transporter
1183692	254162236	ECB_02151	2272809	2273993	+	394	COG0183I	acetyl-CoA acetyltransferase
1183693	254162237	ECB_02152	2274067	2274843	-	258	COG4676S	hypothetical protein
1183693	254162238	ECB_02153	2274848	2276497	-	549	COG5445S	hypothetical protein
1183693	254162239	ECB_02154	2276498	2281102	-	1534	COG2373R	hypothetical protein
1183693	254162240	ECB_02155	2281036	2281659	-	207	COG3234S	hypothetical protein
1183693	254162241	ECB_02156	2281656	2283344	-	562	COG4685S	hypothetical protein
1183694	254162246	ECB_02161	2294092	2295222	+	376	COG0208F	ribonucleotide-diphosphate reductase subunit beta
1183694	254162247	ECB_02162	2295222	2295476	+	84	COG0633C	2Fe-2S ferredoxin YfaE
1183695	254162250	ECB_02165	2296643	2297719	-	358	COG0584C	glycerophosphodiester phosphodiesterase
1183695	254162251	ECB_02166	2297724	2299082	-	452	COG2271G	sn-glycerol-3-phosphate transporter
1183696	254162252	ECB_02167	2299355	2300983	+	542	COG0578C	sn-glycerol-3-phosphate dehydrogenase subunit A
1183696	254162253	ECB_02168	2300973	2302232	+	419	COG3075E	anaerobic glycerol-3-phosphate dehydrogenase subunit B
1183696	254162254	ECB_02169	2302229	2303419	+	396	COG0247C	sn-glycerol-3-phosphate dehydrogenase subunit C
1183697	254162256	ECB_02171	2304555	2305358	-	267	COG3836G	putative aldolase
1183697	254162257	ECB_02172	2305376	2306665	-	429	COG2271G	putative transporter
1183697	254162258	ECB_02173	2306722	2307939	-	405	COG4948MR	putative enolase
1183697	254162259	ECB_02174	2307942	2308724	-	260	COG1414K	putative DNA-binding transcriptional regulator
1183698	254162264	ECB_02179	2312423	2313580	+	385	COG0399M	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
1183698	254162265	ECB_02180	2313584	2314552	+	322	COG0463M	undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase
1183698	254162266	ECB_02181	2314552	2316534	+	660	COG0223J	bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase
1183698	254162267	ECB_02182	2316531	2317421	+	296	COG0726G	hypothetical protein
1183698	254162268	ECB_02183	2317421	2319073	+	550	COG1807M	4-amino-4-deoxy-L-arabinose transferase
1183698	254162269	ECB_02184	2319070	2319405	+	111	-	hypothetical protein
1183698	254162270	ECB_02185	2319405	2319791	+	128	-	hypothetical protein
1183699	254162272	ECB_02187	2320161	2321516	-	451	COG0318IQ	O-succinylbenzoic acid--CoA ligase
1183699	254162273	ECB_02188	2321513	2322475	-	320	COG1441H	O-succinylbenzoate synthase
1183699	254162274	ECB_02189	2322475	2323332	-	285	COG0447H	naphthoate synthase
1183699	254162275	ECB_02190	2323347	2324105	-	252	COG0596R	acyl-CoA thioester hydrolase YfbB
1183699	254162276	ECB_02191	2324102	2325772	-	556	COG1165H	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
1183700	254162278	ECB_02193	2327235	2327540	-	101	COG4575S	hypothetical protein
1183700	254162279	ECB_02194	2327595	2328056	-	153	COG2153R	hypothetical protein
1183701	254162283	ECB_02199	2332147	2332668	+	173	COG2963L	putative ISRSO11-transposase orfA protein
1183701	254162284	ECB_02200	2332665	2333504	+	279	COG2801L	YadA protein
1183702	254162287	ECB_02203	2336796	2338637	-	613	COG1009CP	NADH dehydrogenase subunit L
1183702	254162288	ECB_02204	2338634	2338936	-	100	COG0713C	NADH dehydrogenase subunit K
1183702	254162289	ECB_02205	2338933	2339487	-	184	COG0839C	NADH dehydrogenase subunit J
1183702	254162290	ECB_02206	2339499	2340041	-	180	COG1143C	NADH dehydrogenase subunit I
1183702	254162291	ECB_02207	2340056	2341033	-	325	COG1005C	NADH dehydrogenase subunit H
1183702	254162292	ECB_02208	2341030	2343762	-	910	COG1034C	NADH dehydrogenase subunit G
1183702	254162293	ECB_02209	2343809	2345146	-	445	COG1894C	NADH dehydrogenase I subunit F
1183702	254162294	ECB_02210	2345143	2345643	-	166	COG1905C	NADH dehydrogenase subunit E
1183702	254162295	ECB_02211	2345646	2347448	-	600	COG0649C	bifunctional NADH:ubiquinone oxidoreductase subunit C/D
1183702	254162296	ECB_02212	2347542	2348204	-	220	COG0377C	NADH dehydrogenase subunit B
1183702	254162297	ECB_02213	2348220	2348663	-	147	COG0838C	NADH dehydrogenase subunit A
1183703	254162299	ECB_02215	2351152	2352369	+	405	COG0436E	aminotransferase AlaT
1183703	254162300	ECB_02216	2352453	2353052	+	199	COG1896R	hypothetical protein
1183704	254162302	ECB_02218	2355030	2355680	-	216	COG0637R	putative phosphatase
1183704	254162303	ECB_02219	2355691	2356185	-	164	COG3013S	hypothetical protein
1183705	254162305	ECB_02221	2357062	2358264	+	400	COG0282C	acetate kinase
1183705	254162306	ECB_02222	2358339	2360483	+	714	COG0857R	phosphate acetyltransferase
1183706	254162308	ECB_02224	2362226	2362768	-	180	-	putative NUDIX hydrolase
1183706	254162309	ECB_02225	2362826	2363380	-	184	COG0622R	phosphodiesterase
1183707	254162311	ECB_02227	2364213	2364860	+	215	COG0625O	glutathione S-transferase
1183707	254162312	ECB_02228	2364917	2365279	+	120	COG1539H	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase
1183707	254162313	ECB_02229	2365300	2366193	+	297	COG1090R	hypothetical protein
1183708	254162315	ECB_02231	2367328	2368101	-	257	COG4598E	histidine/lysine/arginine/ornithine transporter subunit
1183708	254162316	ECB_02232	2368109	2368825	-	238	COG4160E	histidine/lysine/arginine/ornithine transporter subunit
1183708	254162317	ECB_02233	2368822	2369508	-	228	COG4215E	histidine/lysine/arginine/ornithine transporter subunit
1183708	254162318	ECB_02234	2369598	2370380	-	260	COG0834ET	histidine/lysine/arginine/ornithine transporter subunit
1183709	254162320	ECB_02236	2371649	2372218	-	189	COG0163H	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
1183709	254162321	ECB_02237	2372313	2373830	-	505	COG0034F	amidophosphoribosyltransferase
1183709	254162322	ECB_02238	2373867	2374355	-	162	COG1286R	colicin V production protein
1183710	254162323	ECB_02239	2374614	2375276	-	220	COG3147S	hypothetical protein
1183710	254162324	ECB_02240	2375266	2376534	-	422	COG0285H	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase
